dauid,area_sq_km,pop_total,hhld_total,vismin_total,vismin_vismin,lico_total,lico_lico,fam_total,fam_oneparent,fam_onemother
48061244,0.3108,711,301,700,50,710,55,210,40,35
48061245,1.1235,312,127,265,25,315,5,110,15,10
48061246,0.137,420,170,350,50,420,15,130,20,10
48061247,0.2631,983,364,1060,355,980,60,295,80,65
48061248,0.3655,1170,467,1250,180,1170,60,350,80,70
48061249,0.3271,682,256,735,100,680,20,210,40,30
48061250,0.2994,831,413,860,85,830,60,230,40,30
48061252,0.0547,392,159,365,100,390,30,105,40,30
48061253,0.2328,478,191,500,115,475,15,155,35,30
48061256,0.0626,207,80,200,20,210,20,60,5,0
48061257,0.1502,454,189,465,90,455,30,135,25,20
48061258,0.2736,888,378,915,175,885,70,245,65,55
48061259,0.2376,459,167,450,60,460,5,145,20,10
48061260,0.1673,589,209,595,40,585,15,185,10,5
48061261,0.072,263,84,260,35,255,0,80,5,5
48061262,0.2327,415,154,460,20,415,10,130,15,15
48061263,0.221,432,158,390,60,435,15,135,15,5
48061264,0.2031,326,121,325,30,330,5,95,10,10
48061265,0.1453,430,187,440,35,430,35,140,25,15
48061266,0.36,538,208,470,15,540,40,165,25,15
48061267,0.1194,317,122,345,0,315,10,105,10,10
48061268,0.2795,711,280,720,135,710,15,220,25,15
48061269,0.1344,408,160,405,45,410,15,130,15,10
48061271,0.1006,290,114,265,20,290,10,95,15,15
48061272,2.1399,653,267,690,50,650,20,205,15,10
48061273,0.1312,337,147,290,55,340,10,110,20,10
48061274,0.1197,345,144,320,20,345,20,105,15,10
48061275,0.1733,376,163,335,25,375,15,125,20,15
48061276,0.2189,364,146,325,40,365,15,120,15,5
48061277,0.1842,430,184,390,30,430,25,130,15,10
48061278,0.272,547,229,510,35,545,40,165,30,15
48061279,0.2055,454,206,435,40,455,15,135,20,20
48061280,0.1453,394,172,460,45,395,20,120,20,15
48061281,0.2061,438,188,420,40,440,25,125,25,20
48061282,0.2848,649,276,655,70,650,35,195,30,20
48061283,0.186,501,206,520,65,505,20,150,20,15
48061284,0.1665,368,153,375,90,365,20,105,30,25
48061285,0.1641,332,142,310,0,330,15,115,20,10
48061286,0.2346,522,215,515,25,520,20,150,25,20
48061287,0.1738,526,225,505,95,525,25,160,25,20
48061288,0.2579,511,221,475,125,510,25,145,20,10
48061289,0.1188,1085,498,915,380,905,130,210,60,50
48061290,0.1227,572,249,650,160,570,30,155,35,25
48061295,0.0858,727,330,700,300,720,85,190,55,45
48061296,0.201,581,239,565,100,575,50,165,25,20
48061297,0.1785,551,207,525,160,550,50,160,40,40
48061298,0.1633,538,239,500,170,540,45,155,30,25
48061299,0.1566,436,179,485,85,430,20,135,20,15
48061300,1.2912,579,266,560,130,575,35,160,30,25
48061301,0.8004,592,225,600,40,590,25,180,5,5
48061302,0.2454,599,240,565,80,600,20,185,25,15
48061303,0.1643,584,275,605,200,585,35,160,25,15
48061304,0.1914,500,212,530,45,495,20,145,20,15
48061305,0.431,476,188,455,15,480,20,160,20,15
48061306,0.1797,461,176,455,35,460,5,145,10,5
48061307,0.3039,433,154,440,80,430,15,135,10,5
48061308,0.1356,343,122,345,30,340,0,105,20,10
48061309,0.3902,433,154,460,40,430,20,135,5,5
48061310,0.1344,402,147,365,15,405,15,130,10,10
48061311,0.2376,425,142,360,70,425,0,130,10,5
48061312,0.1346,359,122,390,35,355,0,110,5,5
48061313,0.2027,376,133,365,35,375,5,120,10,0
48061314,0.5692,553,215,625,100,550,15,175,15,10
48061315,0.1384,383,156,390,95,385,20,120,15,10
48061316,0.0962,283,102,330,45,285,10,75,10,5
48061317,0.0758,515,263,495,70,515,25,140,40,25
48061318,0.2141,518,211,600,65,520,30,160,20,20
48061319,0.1191,322,132,310,65,320,30,90,10,10
48061320,0.1865,546,208,615,95,550,10,175,15,15
48061321,0.1903,735,291,705,200,735,65,210,45,35
48061322,0.1321,218,85,210,20,215,5,65,10,5
48061323,0.3371,980,459,1005,170,980,60,275,80,65
48061324,0.384,460,159,450,105,460,15,150,10,10
48061325,0.398,1115,510,1100,395,1105,70,290,75,50
48061326,0.1152,285,110,345,35,285,10,95,10,5
48061327,0.1251,306,117,310,20,305,5,95,5,0
48061328,0.2957,574,197,560,65,575,10,175,5,5
48061329,0.2137,501,174,480,80,500,10,150,10,10
48061330,0.0586,410,203,370,80,410,40,120,30,20
48061331,1.1406,699,336,615,75,695,50,230,40,25
48061332,0.6085,483,168,445,85,485,15,145,10,5
48061333,0.3162,551,192,550,65,550,15,175,5,10
48061334,0.2505,533,209,555,45,530,15,165,20,15
48061335,0.191,595,204,595,40,595,5,175,15,15
48061336,0.1873,370,140,405,35,365,20,125,10,5
48061337,0.1549,416,160,375,0,415,15,140,10,5
48061338,0.164,350,131,340,30,345,25,110,10,10
48061339,0.4927,587,255,590,70,590,25,180,15,15
48061340,0.1611,402,161,380,30,400,10,135,10,5
48061341,0.1728,339,133,320,10,340,5,110,10,10
48061342,0.1292,327,131,320,15,325,0,110,10,5
48061343,1.7404,377,133,335,30,380,5,115,10,10
48061344,0.1839,484,182,435,10,485,10,165,10,5
48061345,2.1484,331,131,325,25,330,10,110,5,5
48061346,0.1313,446,147,450,105,445,20,135,20,15
48061347,0.0788,330,104,375,75,330,10,100,10,5
48061348,0.3047,976,323,985,195,975,30,300,15,15
48061349,0.0773,307,100,315,50,305,0,100,10,0
48061350,0.1383,757,274,745,145,755,40,240,30,25
48061351,0.3213,822,277,800,70,820,20,250,25,15
48061353,0.1322,543,189,490,80,545,20,165,20,10
48061354,0.091,339,128,360,35,340,10,105,10,10
48061355,0.1112,530,204,510,125,525,25,160,50,40
48061356,0.196,472,206,485,140,470,25,125,20,20
48061357,0.1406,484,187,450,30,485,25,145,35,25
48061358,0.0699,256,87,270,40,255,5,80,10,10
48061359,0.1626,550,184,560,95,550,5,165,5,5
48061360,0.2843,883,314,935,75,880,15,280,25,20
48061362,0.5298,870,361,845,95,870,40,245,35,20
48061363,0.118,403,143,455,20,405,15,125,20,15
48061364,0.0863,301,119,360,0,300,20,90,10,5
48061365,0.1366,599,262,655,120,595,30,175,55,50
48061367,0.7366,1670,597,1330,105,1400,50,415,75,60
48061368,0.1156,366,127,350,40,365,15,115,5,5
48061370,2.2274,1037,484,980,485,930,125,245,90,80
48061372,0.8741,651,146,350,45,355,10,100,25,20
48061373,0.1091,367,138,375,50,370,5,115,15,10
48061374,0.2015,713,244,795,455,710,40,195,35,25
48061375,0.0976,479,182,485,170,480,35,135,35,20
48061376,0.1321,632,207,705,315,630,55,185,45,40
48061377,0.3205,723,267,640,185,725,40,215,40,30
48061378,0.1251,535,185,540,135,535,20,150,25,20
48061379,0.1287,471,165,455,120,475,10,140,30,20
48061380,0.0951,368,124,360,155,370,10,110,10,10
48061385,5.8777,1092,442,1150,450,1095,115,300,50,35
48061390,0.0914,380,130,380,60,380,15,110,15,5
48061391,0.2301,456,163,445,45,455,15,135,25,20
48061392,0.133,474,164,430,20,475,10,130,20,10
48061393,0.0977,324,123,320,40,330,35,100,15,15
48061397,0.5476,826,271,895,90,830,45,250,15,10
48061460,0.3354,711,219,475,90,520,35,155,20,10
48061461,0.0357,214,83,275,55,215,15,60,15,10
48061462,0.0888,520,202,475,130,520,30,150,40,35
48061463,0.0782,326,122,285,30,330,15,95,25,20
48061465,0.4154,1143,581,980,280,970,75,220,25,20
48061466,0.2141,756,416,765,55,755,30,220,15,10
48061467,0.8294,1871,1264,1850,640,1870,150,415,50,45
48061472,0.2305,575,237,585,120,575,25,175,30,25
48061473,0.312,875,402,1000,420,875,60,220,40,30
48061474,0.7208,1115,520,1080,580,1115,145,270,75,65
48061475,0.2659,1161,561,1085,460,1155,140,285,75,65
48061476,0.145,524,242,520,175,525,35,130,25,20
48061477,0.045,508,286,560,285,505,75,115,25,20
48061478,0.0987,555,305,445,120,530,105,115,35,30
48061479,0.2317,502,197,490,170,500,40,140,25,20
48061480,0.2011,504,199,520,50,500,20,140,30,20
48061481,0.1582,430,193,485,125,430,25,125,20,15
48061482,0.4101,301,136,315,25,300,20,90,15,10
48061483,6.7715,166,82,145,25,165,15,45,15,5
48061484,0.923,409,185,450,95,410,40,120,40,30
48061485,0.044,0,0,,,,,,,
48061486,0.167,473,205,465,55,470,35,125,40,30
48061487,0.1631,591,194,600,410,590,45,150,25,25
48061488,0.2185,728,343,675,295,730,80,160,40,35
48061489,0.1228,426,132,415,280,425,40,115,25,20
48061490,0.1085,473,151,360,220,475,35,130,25,15
48061491,0.1721,675,216,575,275,675,35,185,30,25
48061492,0.0485,595,181,520,430,595,110,135,25,25
48061493,0.1158,737,274,825,645,740,65,195,35,30
48061494,0.0836,397,125,465,420,400,30,100,15,10
48061495,0.0528,104,32,110,85,105,10,20,5,5
48061496,0.0688,479,173,475,330,480,35,120,30,25
48061497,0.0809,366,122,395,310,365,40,90,20,20
48061501,0.1692,692,253,805,295,690,55,200,50,35
48061502,0.063,296,91,230,90,295,0,85,15,10
